GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,Actor1__model_time_in_ms,Actor1_release_harness_version,Actor1_release_model_version,Actor1_release_model_version_number,Actor1_request_id,Actor1_result_class1,Actor1_result_class2,Actor1_timing,Actor2__model_time_in_ms,Actor2_release_harness_version,Actor2_release_model_version,Actor2_release_model_version_number,Actor2_request_id,Actor2_result_class1,Actor2_result_class2,Actor2_timing
838788881,4/16/2018,201804,2018,2018.2904,EDU,ECONOMIST,,,,,,EDU,,,GOV,REGULATOR,,,,,,GOV,,,1,20,20,2,1,3,10,1,10,-3.153153153,4,"Vancouver, British Columbia, Canada",CA,CA02,12552,49.25,-123.133,-575268,4,"Vancouver, British Columbia, Canada",CA,CA02,12552,49.25,-123.133,-575268,4,"Vancouver, British Columbia, Canada",CA,CA02,12552,49.25,-123.133,-575268,2.01904E+13,https://www.bnnbloomberg.ca/b-20-mortgage-stress-test-needs-to-be-revisited-says-cibc-s-tal-1.1245189,0,0.1,5ec427ae4cedfd0008830f07,4,8IUWTZSL3MAQJ1C6,TRUE,3,0.078201294,1001,0.1,5ec427ae4cedfd0008830f07,4,RSFCLN4EK35XOU0V,TRUE,3,1001.194239
838788882,4/16/2018,201804,2018,2018.2904,EDU,STUDENT,,,,,,EDU,,,USA,LAS VEGAS,USA,,,,,,,,1,36,36,3,1,4,8,1,8,2.21402214,2,"Illinois, United States",US,USIL,,40.3363,-89.0022,IL,2,"Illinois, United States",US,USIL,,40.3363,-89.0022,IL,2,"Illinois, United States",US,USIL,,40.3363,-89.0022,IL,2.01904E+13,https://today.iit.edu/?p=93187,0,0.1,5ec427ae4cedfd0008830f07,4,1C7AUZQLKB9O5PN3,TRUE,0,0.079154968,0,0.1,5ec427ae4cedfd0008830f07,4,RHC58LU0X41VKWE2,TRUE,4,0.066280365
838788884,4/16/2018,201804,2018,2018.2904,GOV,GOVERNMENT,,,,,,GOV,,,BUS,BUSINESS,,,,,,BUS,,,1,51,51,5,1,3.4,8,1,8,-1.658767773,1,Ireland,EI,EI,,53,-8,EI,1,Ireland,EI,EI,,53,-8,EI,1,Ireland,EI,EI,,53,-8,EI,2.01904E+13,https://www.irishtimes.com/business/economy/extra-50-000-jobs-to-be-created-in-irish-economy-this-year-says-donohoe-1.3862486,0,0.1,5ec427ae4cedfd0008830f07,4,PRTW4N2O39LYDBMF,TRUE,3,0.120401382,1001,0.1,5ec427ae4cedfd0008830f07,4,FHZU2BCO10AY9LIS,TRUE,3,1001.168489
838788885,4/16/2018,201804,2018,2018.2904,GOV,GOVERNMENT,,,,,,GOV,,,BUS,BUSINESS,,,,,,BUS,,,1,51,51,5,1,3.4,2,1,2,-1.658767773,1,United Kingdom,UK,UK,,54,-4,UK,1,Ireland,EI,EI,,53,-8,EI,1,Ireland,EI,EI,,53,-8,EI,2.01904E+13,https://www.irishtimes.com/business/economy/extra-50-000-jobs-to-be-created-in-irish-economy-this-year-says-donohoe-1.3862486,0,0.1,5ec427ae4cedfd0008830f07,4,5AM1Z3JSUHOV92BI,TRUE,3,0.074386597,0,0.1,5ec427ae4cedfd0008830f07,4,3FQ158RWS97IJCLH,TRUE,3,0.053405762
838788886,4/16/2018,201804,2018,2018.2904,GOV,MINIST,,,,,,GOV,,,MOS,MUSLIM,,,,MOS,,,,,0,51,51,5,1,3.4,10,1,10,-11.86440678,1,India,IN,IN,,20,77,IN,1,India,IN,IN,,20,77,IN,1,India,IN,IN,,20,77,IN,2.01904E+13,https://www.samaa.tv/news/2019/04/mob-kills-christian-man-for-allegedly-slaughtering-cow-in-india/,0,0.1,5ec427ae4cedfd0008830f07,4,XJVEOQLBDZUH1K4I,FALSE,3,0.069141388,0,0.1,5ec427ae4cedfd0008830f07,4,BMWNI3P4LV6FSJUR,FALSE,3,0.04529953
838788887,4/16/2018,201804,2018,2018.2904,GOV,MINIST,,,,,,GOV,,,MOS,MUSLIM,,,,MOS,,,,,0,111,111,11,3,-2,10,1,10,-11.86440678,1,India,IN,IN,,20,77,IN,1,India,IN,IN,,20,77,IN,1,India,IN,IN,,20,77,IN,2.01904E+13,https://www.samaa.tv/news/2019/04/mob-kills-christian-man-for-allegedly-slaughtering-cow-in-india/,0,0.1,5ec427ae4cedfd0008830f07,4,2X7VJFH46WTB8A9M,FALSE,2,0.052928925,0,0.1,5ec427ae4cedfd0008830f07,4,PEGCV94NWQ018UTL,FALSE,2,0.047206879
838788888,4/16/2018,201804,2018,2018.2904,GOV,MINIST,,,,,,GOV,,,MOS,MUSLIM,,,,MOS,,,,,0,173,173,17,4,-5,10,1,10,-11.86440678,1,India,IN,IN,,20,77,IN,1,India,IN,IN,,20,77,IN,1,India,IN,IN,,20,77,IN,2.01904E+13,https://www.samaa.tv/news/2019/04/mob-kills-christian-man-for-allegedly-slaughtering-cow-in-india/,0,0.1,5ec427ae4cedfd0008830f07,4,QZEFKNCSIJAO7G1R,FALSE,2,0.122070313,0,0.1,5ec427ae4cedfd0008830f07,4,53OY96A1HWX4DTJB,FALSE,2,0.075817108
838788889,4/16/2018,201804,2018,2018.2904,IGOEUREEC,THE EU,EUR,EEC,,,,IGO,,,LEG,PARLIAMENT,,,,,,LEG,,,0,120,120,12,3,-4,5,1,5,-1.554907677,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,2.01904E+13,https://www.yakimaherald.com/news/world_news/uk-government-opposition-cling-to-hope-of-brexit-compromise/article_73fc6d4f-a0e5-52f4-aab5-bcd57292339d.html,1001,0.1,5ec427ae4cedfd0008830f07,4,LYTE0CRSP1J9D5ZW,TRUE,2,1001.165628,0,0.1,5ec427ae4cedfd0008830f07,4,W8ZSD2G1CYTK3MNI,TRUE,2,0.079631805
838788896,4/16/2018,201804,2018,2018.2904,USA,ALABAMA,USA,,,,,,,,OPP,PRISONER,,,,,,OPP,,,1,112,112,11,3,-2,21,3,21,1.692747522,2,"Alabama, United States",US,USAL,,32.799,-86.8073,AL,2,"Alabama, United States",US,USAL,,32.799,-86.8073,AL,2,"Alabama, United States",US,USAL,,32.799,-86.8073,AL,2.01904E+13,https://www.mix96.co.uk/news/showbiz/2852800/its-my-dream-kim-kardashian-hits-back-at-critics-of-her-law-studies/,0,0.1,5ec427ae4cedfd0008830f07,4,OY23TB4JQ6U5DGCL,TRUE,4,0.069618225,2002,0.1,5ec427ae4cedfd0008830f07,4,XDCETHQYROFPABJL,TRUE,1,2002.169609
838788897,4/16/2018,201804,2018,2018.2904,USA,ALABAMA,USA,,,,,,,,OPP,PRISONER,,,,,,OPP,,,1,112,112,11,3,-2,3,3,3,1.692747522,2,"California, United States",US,USCA,,36.17,-119.746,CA,2,"California, United States",US,USCA,,36.17,-119.746,CA,2,"California, United States",US,USCA,,36.17,-119.746,CA,2.01904E+13,https://www.mix96.co.uk/news/showbiz/2852800/its-my-dream-kim-kardashian-hits-back-at-critics-of-her-law-studies/,0,0.1,5ec427ae4cedfd0008830f07,4,C0FMEZWP7ND1GAS8,TRUE,4,0.080108643,0,0.1,5ec427ae4cedfd0008830f07,4,8TMSVO6FA4ICHYZK,TRUE,1,0.070810318
